,DMXR1,DMXR2,C0,C1,C2,C3,C4,C5
132,58544.319118169732974,58545.447746325007756,-39.122763379763362934,338.96726843512198002,77.90917938966572365,0.9566283231990394542,-6.0974231399855938207,-0.6759549312772119567
133,58580.21497321640345,58583.317820366886735,-24.557068977260300358,339.94507700071642375,74.35897396101188406,-3.603593593050565147,-1.7732672330208001377,4.451640475744681247
134,58607.15252572386089,58608.243409809692825,12.779823752548775673,339.24787124052573972,77.19384025021035711,4.987938663712531806,-4.1817714786772288704,-2.6253705467183396927
136,58636.066834804194514,58637.2836768676425,62.60988380207623294,337.43578713866344287,79.042560236897756454,13.046873349047329427,-1.5470337040309427579,-9.158917409342786087
138,58670.995797102717916,58672.076648091628158,3.4206408797380305487,332.06047210754076104,80.93880760359304816,17.714299319858444193,-9.199218524023358157,-8.785523638541716807
140,58698.906022722010672,58700.00050712935626,5.7216026101844228435,334.05406685291978874,87.53272141683522989,12.708013870050296035,-14.881654449320990352,-6.6425358163328205308
142,58728.81609762123117,58729.913539059329203,40.58489708590836642,335.115069888052858,76.138297297616460924,2.358228389295901728,-5.840961108302566096,0.6230334492162832305
144,58758.733931429444052,58759.837357239011908,4.966827034026330523,335.58925620133038592,77.22351301566686743,-5.463353400373226698,-7.149022929316327435,7.5570016225314002867
145,58786.65277775405411,58789.837936643038127,-22.71323750596295099,331.67672846570076217,65.30223970320524529,12.230162230269932877,3.7813353676607839304,-7.7637429588494120125
149,58848.497500265570128,58849.688176546755127,37.408727405221824824,336.04130481251445417,71.49640484259339246,-7.428093052631695059,-3.7289179594613504065,7.8481749121214985365
150,58881.433764122433786,58882.53762136810838,70.66404253349435294,330.9104187454730095,73.34630114206692042,5.4281838300424993804,-3.7214772211236466504,-4.2673575275897670522
154,58939.281800374803424,58940.389989685769248,24.299330823875827434,331.20715564946812037,71.933026788314634814,1.4907961701809968602,-3.0991885258806477488,-0.277772828627355306
