,DMXR1,DMXR2,a0,a1,a2,a3,a4,a5
0,55275.21076294092199,55278.302508105261943,-16.789374078949698799,357.33928150837311932,73.68724399706407269,6.7868718714933464753,2.3935302099075466131,-2.5103084747725330494
1,55305.129400450125104,55307.222342165572627,-24.874587064109483947,358.9947977964459369,75.002877823196968166,1.6066333743953158386,1.3146742842527574524,3.698193413762706605
2,55337.042076843325045,55340.140581389205185,128.06167602741101064,292.4132152836867249,55.307603217621711167,-10.912991394066436257,-0.1846447979764201941,7.1351298856642895174
3,55360.97687829269853,55365.10695301464148,5.433829136840422791,364.88740144600245685,81.33438651712003775,6.022248544163398165,-0.16611299859009914792,-5.702076784444076729
4,55389.952102848241342,55396.025463305413727,-25.413499500219920435,374.4180030319757293,75.747941350414805584,-14.201834042587885065,3.4856289213863496101,11.234708025405620191
5,55429.831958975046295,55430.930439214775106,-19.18106931005613447,370.52095665900941412,84.01694179521797423,-3.203420091794432878,-2.439246571085335713,0.61813548785788485773
6,55461.745789457010684,55463.839871585092627,-4.031975553231877285,369.03915952999108185,77.45551838796369282,-3.9006500828301442496,-0.19977705082472246856,3.1278770322614861676
7,55492.615909039617684,55493.71266188909794,-7.385972453651810099,365.24091239979816237,77.81298134496009311,7.21939259257983057,1.4846505043793778444,-5.862263343575605745
8,55578.425765017920636,55579.52226887269353,94.46314521609647841,356.81252427809573646,81.507263176609569655,11.19501377669777753,-4.6854689195125391876,-8.106376830935390743
9,55616.27719284220075,55617.37454579314362,39.60167048039127735,335.1903517789136231,69.628696992151333234,0.14445114730952685056,-1.6001388411588410854,1.4676503743439159866
10,55639.25934454677918,55641.35423968792748,41.352017987205883287,362.04449830990387227,75.43209976092984448,-8.757037851401738848,0.83428711104295549816,8.8559904469574295405
11,55670.17458321492449,55674.26299381940044,60.637487776296424613,364.17382432171672235,78.013258360344991615,-3.1923021473047170637,-1.8218097808412005989,1.0939471148647510468
12,55700.09266208554618,55704.181767550806402,38.23953252008599435,366.63572994855474008,75.22756236771826366,-4.433939837345866941,1.0230321241705080393,0.7959073431313650193
13,55731.008343573405,55732.104630349829677,-25.658911780293166771,367.70705873937481556,70.32755640280294074,-5.1689939091834382623,3.8047266785374835862,3.7372499243898333887
14,55799.774877316725902,55800.871957574578115,-5.50379257946911693,360.36715801375618184,80.84606569892487471,8.329286844635772624,-3.7624151086271480082,-5.411823260831872595
15,55826.708318658354987,55828.80263432335778,-4.629115256751745733,361.44960433519747767,77.974067239954848674,-6.3936722416014060144,-3.2804127911359515224,9.89626557445312649
16,55863.60648945263529,55864.69965766793757,-232.34301593335317193,326.34239791556763066,90.392965542052593264,-2.0595114927729074594,-33.20477128839989689,16.396389898471749547
